Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
1,338.0,338.0,110417,4.0,1.0,4.0,9.0,Champions
5,,,3713,,,2.0,2.0,Hibernating
23,,,2791,,,2.0,2.0,Hibernating
37,163.0,163.0,1897,4.0,1.0,1.0,6.0,Potential Loyalist
49,1099.0,1099.0,4512,2.0,3.0,3.0,8.0,Loyal
53,405.0,405.0,3480,4.0,1.0,2.0,7.0,Loyal
65,,,1281,,,1.0,1.0,Hibernating
87,,,1679,,,1.0,1.0,Hibernating
158,,,3060,,,2.0,2.0,Hibernating
170,,,4609,,,3.0,3.0,At Risk
200,,,4489,,,3.0,3.0,At Risk
202,,,4607,,,3.0,3.0,At Risk
205,457.0,457.0,4704,4.0,1.0,3.0,8.0,Loyal
210,,,2452,,,2.0,2.0,Hibernating
216,396.0,396.0,3906,4.0,1.0,3.0,8.0,Loyal
240,134.0,134.0,3205,4.0,1.0,2.0,7.0,Loyal
269,,,1517,,,1.0,1.0,Hibernating
292,,,4418,,,3.0,3.0,At Risk
299,,,4056,,,3.0,3.0,At Risk
325,376.0,376.0,1647,4.0,1.0,1.0,6.0,Potential Loyalist
327,731.0,731.0,2279,3.0,2.0,1.0,6.0,Potential Loyalist
328,1225.0,1225.0,700,2.0,3.0,1.0,6.0,Potential Loyalist
329,,,1668,,,1.0,1.0,Hibernating
332,219.0,219.0,4587,4.0,1.0,3.0,8.0,Loyal
360,165.0,165.0,2919,4.0,1.0,2.0,7.0,Loyal
361,1716.0,1716.0,599,1.0,4.0,1.0,6.0,Potential Loyalist
390,10.0,10.0,3760,4.0,1.0,3.0,8.0,Loyal
400,,,1131,,,1.0,1.0,Hibernating
415,710.0,710.0,699,3.0,2.0,1.0,6.0,Potential Loyalist
421,,,3117,,,2.0,2.0,Hibernating
426,,,1551,,,1.0,1.0,Hibernating
431,,,1229,,,1.0,1.0,Hibernating
433,1069.0,1069.0,1594,2.0,3.0,1.0,6.0,Potential Loyalist
436,,,4565,,,3.0,3.0,At Risk
445,1678.0,1678.0,4533,1.0,4.0,3.0,8.0,Loyal
455,1467.0,1467.0,4098,2.0,3.0,3.0,8.0,Loyal
478,1103.0,1103.0,1885,2.0,3.0,1.0,6.0,Potential Loyalist
483,338.0,338.0,1279,4.0,1.0,1.0,6.0,Potential Loyalist
499,,,1712,,,1.0,1.0,Hibernating
506,,,3171,,,2.0,2.0,Hibernating
512,,,1751,,,1.0,1.0,Hibernating
514,,,3432,,,2.0,2.0,Hibernating
521,1560.0,1560.0,988,2.0,3.0,1.0,6.0,Potential Loyalist
530,1527.0,1527.0,731,2.0,3.0,1.0,6.0,Potential Loyalist
534,1408.0,1408.0,1810,2.0,3.0,1.0,6.0,Potential Loyalist
547,,,4341,,,3.0,3.0,At Risk
561,1988.0,1988.0,4259,1.0,4.0,3.0,8.0,Loyal
570,,,3617,,,2.0,2.0,Hibernating
577,1991.0,1991.0,3885,1.0,4.0,3.0,8.0,Loyal
578,,,3423,,,2.0,2.0,Hibernating
584,1827.0,1827.0,4469,1.0,4.0,3.0,8.0,Loyal
598,,,7630,,,4.0,4.0,At Risk
616,,,1185,,,1.0,1.0,Hibernating
617,1252.0,1252.0,932,2.0,3.0,1.0,6.0,Potential Loyalist
625,921.0,921.0,3979,3.0,2.0,3.0,8.0,Loyal
639,,,2397,,,2.0,2.0,Hibernating
646,1099.0,1099.0,4341,2.0,3.0,3.0,8.0,Loyal
651,,,3630,,,2.0,2.0,Hibernating
654,,,1775,,,1.0,1.0,Hibernating
655,1319.0,1319.0,1131,2.0,3.0,1.0,6.0,Potential Loyalist
659,,,4552,,,3.0,3.0,At Risk
666,1462.0,1462.0,3477,2.0,3.0,2.0,7.0,Loyal
675,68.0,68.0,3085,4.0,1.0,2.0,7.0,Loyal
686,,,3368,,,2.0,2.0,Hibernating
688,,,4706,,,4.0,4.0,At Risk
706,,,3993,,,3.0,3.0,At Risk
707,,,1687,,,1.0,1.0,Hibernating
712,1464.0,1464.0,4433,2.0,3.0,3.0,8.0,Loyal
723,1676.0,1676.0,3564,1.0,4.0,2.0,7.0,Loyal
732,,,4138,,,3.0,3.0,At Risk
740,,,3553,,,2.0,2.0,Hibernating
742,,,3504,,,2.0,2.0,Hibernating
753,65.0,65.0,4799,4.0,1.0,4.0,9.0,Champions
757,,,1169,,,1.0,1.0,Hibernating
774,,,2788,,,2.0,2.0,Hibernating
782,252.0,252.0,1626,4.0,1.0,1.0,6.0,Potential Loyalist
790,,,4534,,,3.0,3.0,At Risk
791,,,4361,,,3.0,3.0,At Risk
792,1106.0,1106.0,2050,2.0,3.0,1.0,6.0,Potential Loyalist
795,,,1939,,,1.0,1.0,Hibernating
804,1319.0,1319.0,3739,2.0,3.0,3.0,8.0,Loyal
805,825.0,825.0,2724,3.0,2.0,2.0,7.0,Loyal
811,,,6252,,,4.0,4.0,At Risk
812,,,3989,,,3.0,3.0,At Risk
818,,,2691,,,2.0,2.0,Hibernating
822,282.0,282.0,1684,4.0,1.0,1.0,6.0,Potential Loyalist
837,1008.0,1008.0,6741,3.0,2.0,4.0,9.0,Champions
839,,,6809,,,4.0,4.0,At Risk
842,530.0,530.0,2985,3.0,2.0,2.0,7.0,Loyal
843,1621.0,1621.0,4515,1.0,4.0,3.0,8.0,Loyal
849,,,1843,,,1.0,1.0,Hibernating
852,133.0,133.0,1596,4.0,1.0,1.0,6.0,Potential Loyalist
854,981.0,981.0,2289,3.0,2.0,1.0,6.0,Potential Loyalist
858,,,8513,,,4.0,4.0,At Risk
871,,,4492,,,3.0,3.0,At Risk
882,,,1810,,,1.0,1.0,Hibernating
893,524.0,524.0,3502,3.0,2.0,2.0,7.0,Loyal
894,976.0,976.0,1623,3.0,2.0,1.0,6.0,Potential Loyalist
903,1743.0,1743.0,2085,1.0,4.0,1.0,6.0,Potential Loyalist
907,1377.0,1377.0,1519,2.0,3.0,1.0,6.0,Potential Loyalist
911,,,4511,,,3.0,3.0,At Risk
912,369.0,369.0,1648,4.0,1.0,1.0,6.0,Potential Loyalist
914,371.0,371.0,4665,4.0,1.0,3.0,8.0,Loyal
926,,,4819,,,4.0,4.0,At Risk
932,,,2764,,,2.0,2.0,Hibernating
947,915.0,915.0,3605,3.0,2.0,2.0,7.0,Loyal
953,948.0,948.0,2172,3.0,2.0,1.0,6.0,Potential Loyalist
957,1564.0,1564.0,3876,2.0,3.0,3.0,8.0,Loyal
958,,,4711,,,4.0,4.0,At Risk
968,,,3547,,,2.0,2.0,Hibernating
969,860.0,860.0,4724,3.0,2.0,4.0,9.0,Champions
971,,,4411,,,3.0,3.0,At Risk
976,,,4565,,,3.0,3.0,At Risk
977,1130.0,1130.0,2836,2.0,3.0,2.0,7.0,Loyal
978,,,4525,,,3.0,3.0,At Risk
979,1320.0,1320.0,4327,2.0,3.0,3.0,8.0,Loyal
982,,,1149,,,1.0,1.0,Hibernating
984,,,2117,,,1.0,1.0,Hibernating
986,134.0,134.0,3370,4.0,1.0,2.0,7.0,Loyal
992,,,4555,,,3.0,3.0,At Risk
994,,,6026,,,4.0,4.0,At Risk
1012,986.0,986.0,3876,3.0,2.0,3.0,8.0,Loyal
1014,277.0,277.0,2632,4.0,1.0,2.0,7.0,Loyal
1015,,,4412,,,3.0,3.0,At Risk
1018,1866.0,1866.0,1478,1.0,4.0,1.0,6.0,Potential Loyalist
1023,217.0,217.0,8525,4.0,1.0,4.0,9.0,Champions
1024,132.0,132.0,1464,4.0,1.0,1.0,6.0,Potential Loyalist
1029,,,2001,,,1.0,1.0,Hibernating
1030,1281.0,1281.0,4573,2.0,3.0,3.0,8.0,Loyal
1033,1647.0,1647.0,3357,1.0,4.0,2.0,7.0,Loyal
1038,,,2868,,,2.0,2.0,Hibernating
1039,,,4238,,,3.0,3.0,At Risk
1046,2140.0,2140.0,4757,1.0,4.0,4.0,9.0,Champions
1050,,,4639,,,3.0,3.0,At Risk
1051,,,2793,,,2.0,2.0,Hibernating
1052,,,3060,,,2.0,2.0,Hibernating
1057,,,3113,,,2.0,2.0,Hibernating
1059,1168.0,1168.0,1202,2.0,3.0,1.0,6.0,Potential Loyalist
1061,,,2942,,,2.0,2.0,Hibernating
1074,702.0,702.0,3814,3.0,2.0,3.0,8.0,Loyal
1078,493.0,493.0,3014,3.0,2.0,2.0,7.0,Loyal
1079,1382.0,1382.0,2652,2.0,3.0,2.0,7.0,Loyal
1081,,,4114,,,3.0,3.0,At Risk
1083,1768.0,1768.0,4081,1.0,4.0,3.0,8.0,Loyal
1084,1104.0,1104.0,4984,2.0,3.0,4.0,9.0,Champions
1085,,,1550,,,1.0,1.0,Hibernating
1089,921.0,921.0,3582,3.0,2.0,2.0,7.0,Loyal
1090,945.0,945.0,4472,3.0,2.0,3.0,8.0,Loyal
1092,,,1701,,,1.0,1.0,Hibernating
1095,2139.0,2139.0,4629,1.0,4.0,3.0,8.0,Loyal
1097,1340.0,1340.0,4863,2.0,3.0,4.0,9.0,Champions
1099,915.0,915.0,5681,3.0,2.0,4.0,9.0,Champions
1104,559.0,559.0,2664,3.0,2.0,2.0,7.0,Loyal
1107,,,4378,,,3.0,3.0,At Risk
1115,1168.0,1168.0,3438,2.0,3.0,2.0,7.0,Loyal
1116,,,3658,,,2.0,2.0,Hibernating
1117,,,4454,,,3.0,3.0,At Risk
1118,,,4928,,,4.0,4.0,At Risk
1128,,,3230,,,2.0,2.0,Hibernating
1134,,,3725,,,3.0,3.0,At Risk
1143,768.0,768.0,1360,3.0,2.0,1.0,6.0,Potential Loyalist
1145,10.0,10.0,1753,4.0,1.0,1.0,6.0,Potential Loyalist
1147,1036.0,1036.0,1619,3.0,2.0,1.0,6.0,Potential Loyalist
1151,,,2873,,,2.0,2.0,Hibernating
1158,,,3664,,,2.0,2.0,Hibernating
1162,,,4467,,,3.0,3.0,At Risk
1163,,,3533,,,2.0,2.0,Hibernating
1165,,,2036,,,1.0,1.0,Hibernating
1168,706.0,706.0,4414,3.0,2.0,3.0,8.0,Loyal
1169,32.0,32.0,3480,4.0,1.0,2.0,7.0,Loyal
1175,,,1098,,,1.0,1.0,Hibernating
1178,,,4697,,,3.0,3.0,At Risk
1180,1525.0,1525.0,4612,2.0,3.0,3.0,8.0,Loyal
1181,652.0,652.0,1052,3.0,2.0,1.0,6.0,Potential Loyalist
1183,,,3981,,,3.0,3.0,At Risk
1200,2104.0,2104.0,1706,1.0,4.0,1.0,6.0,Potential Loyalist
1201,2112.0,2112.0,4443,1.0,4.0,3.0,8.0,Loyal
1203,,,4134,,,3.0,3.0,At Risk
1208,1563.0,1563.0,1760,2.0,3.0,1.0,6.0,Potential Loyalist
1211,822.0,822.0,4019,3.0,2.0,3.0,8.0,Loyal
1213,1501.0,1501.0,1536,2.0,3.0,1.0,6.0,Potential Loyalist
